ID,Case ID,Case Name,Group ID,Group Name,Item Name,Item Type,Created by User Name,Created by User ID,Created Time,Last Edited by User Name,Last Edited by User ID,Last Edited Time,isDeleted
945,2,Red Hat Robbers,78,The Mystery Gang,Reliance Bank,location,jsm5561,25,10/27/2015-11:43:29,jsm5561,25,10/27/2015-11:59:44,FALSE
946,2,Red Hat Robbers,87,TeamJaws,Vicki Wiser,person,asl5270,24,10/27/2015-11:43:41,mjs6359,27,10/29/2015-11:42:35,FALSE
947,2,Red Hat Robbers,87,TeamJaws,lone white male (LWM),person,epm5108,61,10/27/2015-11:43:48,epm5108,61,10/27/2015-11:43:48,FALSE
948,2,Red Hat Robbers,87,TeamJaws,teller,person,epm5108,61,10/27/2015-11:44:18,epm5108,61,11/01/2015-18:26:48,FALSE
949,2,Red Hat Robbers,82,Analyticats,åáåÊåÊåÊåÊåÊåÊ Erin Hecker,person,PatrickAugust,46,10/27/2015-11:44:23,PatrickAugust,46,10/29/2015-11:38:23,TRUE
950,2,Red Hat Robbers,77,Caught red-handed,First National Bank Downtown,location,LorenzoAuffant,54,10/27/2015-11:44:32,LorenzoAuffant,54,10/27/2015-11:44:32,FALSE
951,2,Red Hat Robbers,79,JMN 231,Jersey Shore Bank,location,jpz5064,139,10/27/2015-11:44:50,jpz5064,139,10/27/2015-11:48:45,FALSE
952,2,Red Hat Robbers,87,TeamJaws,"van,",resource,epm5108,61,10/27/2015-11:44:57,epm5108,61,10/27/2015-11:44:57,FALSE
953,2,Red Hat Robbers,87,TeamJaws,First National Bank Downtown,location,mjs6359,27,10/27/2015-11:45:07,mjs6359,27,10/27/2015-11:45:07,FALSE
954,2,Red Hat Robbers,87,TeamJaws,"2050 N. Atherton St. State College, PA",location,epm5108,61,10/27/2015-11:45:21,epm5108,61,10/27/2015-11:45:21,FALSE
955,2,Red Hat Robbers,101,Team DJZ,State College,location,jam6755,156,10/27/2015-11:45:31,jam6755,156,10/27/2015-11:45:31,FALSE
956,2,Red Hat Robbers,87,TeamJaws,Tyler ‰ÛÏYaz‰Ûù Yastrzemski,person,mjs6359,27,10/27/2015-11:45:33,mjs6359,27,10/29/2015-11:55:02,FALSE
957,2,Red Hat Robbers,87,TeamJaws,Dalton Graves,person,asl5270,24,10/27/2015-11:45:40,mjs6359,27,10/29/2015-11:42:29,FALSE
958,2,Red Hat Robbers,87,TeamJaws,took off heading south on Atherton St.,location,epm5108,61,10/27/2015-11:45:42,epm5108,61,10/27/2015-11:45:42,FALSE
959,2,Red Hat Robbers,77,Caught red-handed,Tyler Yastrzemski,person,LorenzoAuffant,54,10/27/2015-11:45:43,LorenzoAuffant,54,10/29/2015-11:38:51,FALSE
960,2,Red Hat Robbers,82,Analyticats,Mark Haley,person,gkw5026,141,10/27/2015-11:45:57,PatrickAugust,46,10/27/2015-11:54:35,FALSE
961,2,Red Hat Robbers,87,TeamJaws,Julie Mullin,person,mjs6359,27,10/27/2015-11:46:00,mjs6359,27,10/27/2015-11:46:00,FALSE
962,2,Red Hat Robbers,90,MSR,Jersey Shore Bank,location,mib5572,142,10/27/2015-11:46:03,mib5572,142,10/27/2015-11:46:04,FALSE
963,2,Red Hat Robbers,87,TeamJaws,"Erin Hecker, Bank Teller, Jersey Shore Bank",person,epm5108,61,10/27/2015-11:46:20,epm5108,61,10/29/2015-12:09:20,FALSE
964,2,Red Hat Robbers,77,Caught red-handed,Julie Mullin,person,LorenzoAuffant,54,10/27/2015-11:46:27,LorenzoAuffant,54,10/29/2015-11:39:25,FALSE
965,2,Red Hat Robbers,82,Analyticats,non descript pale blue van,resource,Emelendez89,153,10/27/2015-11:46:42,Emelendez89,153,10/27/2015-11:51:35,FALSE
966,2,Red Hat Robbers,86,Team Eagle,Red Hat Robber,person,CamSabatini,78,10/27/2015-11:46:46,CamSabatini,78,10/27/2015-12:05:05,TRUE
967,2,Red Hat Robbers,87,TeamJaws,"Mark Haley, Verizon Store phone technician",person,epm5108,61,10/27/2015-11:46:47,epm5108,61,11/01/2015-18:26:58,FALSE
968,2,Red Hat Robbers,101,Team DJZ,robbers,person,jam6755,156,10/27/2015-11:46:48,jam6755,156,11/01/2015-15:42:13,FALSE
969,2,Red Hat Robbers,92,Red Hat Analysts ,"Amount Stolen: $1,025",event,cmg5726,133,10/27/2015-11:46:51,cmg5726,133,10/29/2015-11:41:38,TRUE
970,2,Red Hat Robbers,87,TeamJaws,Searle Spence,person,asl5270,24,10/27/2015-11:46:58,asl5270,24,10/27/2015-11:46:58,FALSE
971,2,Red Hat Robbers,81,Triple Threat ,lone white male,person,kmc6016,36,10/27/2015-11:47:01,lez5038,32,10/29/2015-11:54:57,TRUE
