group,user,time,action,object,tool
77,54,2015/10/29 11:54:06,created,annotations,document
77,54,2015/10/29 11:54:10,read,resource,document
77,54,2015/10/29 11:54:10,read,annotation,document
77,54,2015/10/29 11:54:15,read,person,document
77,54,2015/10/29 11:54:15,read,annotation,document
77,54,2015/10/29 11:54:26,read,person,document
77,54,2015/10/29 11:54:26,read,annotation,document
77,54,2015/10/29 11:54:28,deleted,annotation,document
77,54,2015/10/29 11:54:30,read,annotation,document
77,54,2015/10/29 11:54:30,read,person,document
77,54,2015/10/29 11:54:33,focused,document,document
77,54,2015/10/29 11:54:33,focused,network,network
77,54,2015/10/29 11:54:38,focused,document,document
77,54,2015/10/29 11:55:13,focused,document,document
77,54,2015/10/29 11:56:08,created,annotation,document
77,54,2015/10/29 11:56:08,created,person,document
77,54,2015/10/29 11:58:03,created,event,document
77,54,2015/10/29 11:58:03,created,relationship,document
77,54,2015/10/29 11:58:03,created,event,document
77,54,2015/10/29 11:58:03,created,annotations,document
77,54,2015/10/29 11:58:10,read,event,document
77,54,2015/10/29 11:58:10,read,annotation,document
77,54,2015/10/29 11:58:19,read,event,document
77,54,2015/10/29 11:58:19,read,annotation,document
77,54,2015/10/29 11:58:26,updated,event,document
77,54,2015/10/29 11:58:26,updated,relationship,document
77,54,2015/10/29 11:58:26,updated,annotations,document
77,54,2015/10/29 11:59:13,created,person,document
77,54,2015/10/29 11:59:13,created,annotations,document
77,54,2015/10/29 12:01:13,created,person,document
77,54,2015/10/29 12:01:14,created,annotations,document
77,54,2015/10/29 12:01:34,created,person,document
77,54,2015/10/29 12:01:34,created,annotations,document
77,54,2015/10/29 12:02:07,focused,document,document
77,54,2015/10/29 12:02:09,focused,document,document
77,54,2015/10/29 12:02:09,focused,network,network
77,54,2015/10/29 12:02:21,focused,document,document
77,54,2015/10/29 12:02:21,focused,document,document
77,54,2015/10/29 12:02:21,focused,network,network
77,54,2015/10/29 12:03:01,read,person,document
77,54,2015/10/29 12:03:01,created,annotations,document
77,54,2015/10/29 12:03:01,read,annotation,document
77,54,2015/10/29 12:03:05,created,person,document
77,54,2015/10/29 12:03:08,focused,document,document
77,54,2015/10/29 12:03:09,focused,document,document
77,54,2015/10/29 12:03:09,focused,network,network
77,54,2015/10/29 12:03:34,read,person,document
77,54,2015/10/29 12:03:34,read,annotation,document
77,54,2015/10/29 12:03:35,read,relationship,document
77,54,2015/10/29 12:03:35,read,annotation,document
77,54,2015/10/29 12:03:52,read,person,document
77,54,2015/10/29 12:03:52,read,relationship,document
77,54,2015/10/29 12:03:52,read,annotation,document
77,54,2015/10/29 12:04:14,read,resource,document
77,54,2015/10/29 12:04:14,read,person,document
77,54,2015/10/29 12:04:14,read,annotation,document
77,54,2015/10/29 12:04:27,focused,document,document
77,54,2015/10/29 12:04:27,focused,network,network
77,54,2015/10/29 12:04:34,focused,document,document
77,54,2015/10/29 12:04:34,focused,document,document
77,54,2015/10/29 12:04:34,focused,network,network
77,54,2015/10/29 12:04:42,focused,document,document
77,54,2015/10/29 12:04:42,focused,network,network
77,54,2015/10/29 12:04:43,focused,document,document
77,54,2015/10/29 12:04:43,focused,document,document
77,54,2015/10/29 12:04:43,focused,network,network
77,54,2015/10/29 12:04:47,focused,network,network
77,54,2015/10/29 12:04:48,focused,document,document
77,54,2015/10/29 12:04:54,focused,network,network
77,54,2015/10/29 12:04:55,focused,document,document
77,54,2015/10/29 12:04:57,focused,network,network
77,54,2015/10/29 12:05:00,focused,document,document
77,54,2015/10/29 12:05:29,focused,timeline,timeline
77,54,2015/10/29 12:05:31,focused,document,document
77,54,2015/10/30 15:51:29,focused,document,document
77,54,2015/10/30 15:53:08,focused,network,network
77,54,2015/10/30 15:53:22,read,person,network
77,54,2015/10/30 15:53:33,focused,document,document
77,54,2015/10/30 15:53:50,read,event,document
77,54,2015/10/30 15:53:50,read,annotation,document
77,54,2015/10/30 15:54:02,read,relationship,document
77,54,2015/10/30 15:54:02,read,person,document
77,54,2015/10/30 15:54:02,read,annotation,document
77,54,2015/10/30 15:54:04,read,person,document
77,54,2015/10/30 15:54:04,read,relationship,document
77,54,2015/10/30 15:54:04,read,annotation,document
77,54,2015/10/30 15:54:04,read,relationship,document
77,54,2015/10/30 15:54:04,read,annotation,document
77,54,2015/10/30 15:54:05,read,relationship,document
77,54,2015/10/30 15:54:05,read,person,document
77,54,2015/10/30 15:54:05,read,annotation,document
77,54,2015/10/30 15:54:07,read,relationship,document
77,54,2015/10/30 15:54:07,read,person,document
77,54,2015/10/30 15:54:07,read,annotation,document
77,54,2015/10/30 15:54:48,read,event,document
77,54,2015/10/30 15:54:48,read,annotation,document
77,54,2015/10/30 15:56:00,created,annotations,document
77,54,2015/10/30 15:56:01,created,person,document
77,54,2015/10/30 15:56:11,read,person,document
77,54,2015/10/30 15:56:11,read,annotation,document
77,54,2015/10/30 15:56:16,updated,annotation,document
77,54,2015/10/30 15:56:16,updated,person,document
77,54,2015/10/30 15:56:18,read,person,document
77,54,2015/10/30 15:56:18,read,annotation,document
77,54,2015/10/30 15:56:22,deleted,annotations,document
77,54,2015/10/30 15:56:46,focused,document,document
77,54,2015/10/30 15:56:57,created,annotation,document
77,54,2015/10/30 15:56:57,updated,person,document
77,54,2015/10/30 15:57:32,created,person,document
77,54,2015/10/30 15:57:33,created,annotation,document
77,54,2015/10/30 15:57:36,read,person,document
77,54,2015/10/30 15:57:36,read,annotation,document
77,54,2015/10/30 15:57:45,updated,annotation,document
77,54,2015/10/30 15:57:45,updated,person,document
77,54,2015/10/30 15:57:46,read,person,document
77,54,2015/10/30 15:57:46,read,annotation,document
77,54,2015/10/30 15:57:55,updated,annotation,document
77,54,2015/10/30 15:57:55,updated,person,document
77,54,2015/10/30 15:57:58,read,person,document
77,54,2015/10/30 15:57:58,read,annotation,document
77,54,2015/10/30 15:58:03,deleted,annotation,document
77,54,2015/10/30 15:58:52,read,relationship,document
77,54,2015/10/30 15:58:52,read,annotation,document
77,54,2015/10/30 15:58:59,updated,annotations,document
77,54,2015/10/30 15:58:59,updated,relationship,document
77,54,2015/10/30 15:59:05,read,relationship,document
77,54,2015/10/30 15:59:05,read,annotation,document
77,54,2015/10/30 15:59:14,updated,annotations,document
77,54,2015/10/30 15:59:14,updated,relationship,document
77,54,2015/10/30 15:59:23,focused,document,document
77,54,2015/10/30 15:59:43,read,relationship,document
77,54,2015/10/30 15:59:43,read,annotation,document
77,54,2015/10/30 15:59:46,deleted,annotation,document
77,54,2015/10/30 16:01:35,read,person,document
77,54,2015/10/30 16:01:35,read,annotation,document
77,54,2015/10/30 16:01:55,updated,annotations,document
77,54,2015/10/30 16:01:55,updated,person,document
