ID,Case ID,Case Name,Group ID,Group Name,Item Name,Item Type,Created by User Name,Created by User ID,Created Time,Last Edited by User Name,Last Edited by User ID,Last Edited Time,isDeleted,Source ID,Source Name,Source Type,Target ID,Target Name,Target Type
4165,4,Laptop Theft,164,Group 11,involve,relationship,edc5129,180,11/16/2016-13:35:55,edc5129,180,11/16/2016-13:35:55,False,4290,Introduction to psychology,event,4291,Forum 103,location
4163,4,Laptop Theft,161,Team 3,involve,relationship,cjl5378,204,11/16/2016-13:35:32,cjl5378,204,11/16/2016-13:35:32,False,4288,Zahara Credit Card Payment,event,3560,Zahra,person
4162,4,Laptop Theft,161,Team 3,involve,relationship,szc5510,184,11/16/2016-13:35:28,szc5510,184,11/16/2016-13:35:28,False,4287,9/2/2015,event,3553,Sean,person
4161,4,Laptop Theft,164,Group 11,involve,relationship,edc5129,180,11/16/2016-13:34:35,edc5129,180,11/16/2016-13:34:35,False,4285,Spanish in the US,event,4286,Rackley 101,location
4159,4,Laptop Theft,166,Team01,involve,relationship,cke5030,182,11/16/2016-13:34:20,cke5030,182,11/16/2016-13:34:20,False,3994,Unknown,event,4028,Panera,location
4158,4,Laptop Theft,161,Team 3,involve,relationship,szc5510,184,11/16/2016-13:34:13,szc5510,184,11/16/2016-13:34:13,False,4284,$300.00,event,3535,Isabel,person
4157,4,Laptop Theft,164,Group 11,involve,relationship,edc5129,180,11/16/2016-13:33:32,edc5129,180,11/16/2016-13:33:32,False,4283,Information Systems Management and Applications,event,4282,Keller 302,location
4155,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/16/2016-13:32:17,,,11/16/2016-13:32:17,False,3852,Dante,person,4039,Quentin,person
4154,4,Laptop Theft,164,Group 11,involve,relationship,edc5129,180,11/16/2016-13:31:41,edc5129,180,11/16/2016-13:31:41,False,4281,Data Management,event,4282,Keller 302,location
4152,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:30:51,,,11/15/2016-20:30:51,False,3997,Orin,person,3846,percy,person
4151,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:30:51,,,11/15/2016-20:30:51,False,3997,Orin,person,3846,percy,person
4150,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:30:51,,,11/15/2016-20:30:51,False,3997,Orin,person,3846,percy,person
